provinsi,tanggal,hotel__ratio,flight__ratio,train__ratio,bus__ratio,ship__ratio,holiday_ratio,recreation_ratio,destination_ratio
BALI,2020-04-01,1.0989010868252628e-08,1.0989010868252628e-08,1.0989010868252628e-08,1.0989010868252628e-08,1.0989010868252628e-08,1.0989010868252628e-08,1.0989010868252628e-08,1.0989010868252628e-08
BALI,2020-05-01,1.0416666558159723e-08,1.0416666558159723e-08,1.0416666558159723e-08,1.0416666558159723e-08,1.052631567867036e-08,1.052631567867036e-08,1.052631567867036e-08,1.052631567867036e-08
BALI,2020-06-01,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,1.0101009998979696e-08,1.0101009998979696e-08,1.0101009998979696e-08,1.0101009998979696e-08
BALI,2020-07-01,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09,9.9999999e-09
BALI,2020-08-01,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08
BALI,2020-09-01,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08,1.1111110987654324e-08
BALI,2020-10-01,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08,1.176470574394464e-08
BALI,2020-11-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08
BALI,2020-12-01,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08,1.1235954929933092e-08
BALI,2021-01-01,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08
BALI,2021-02-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
BALI,2021-03-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
BALI,2021-04-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
BALI,2021-05-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
BALI,2021-06-01,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08
BALI,2021-07-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
BALI,2021-08-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
BALI,2021-09-01,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
BALI,2021-10-01,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08
BALI,2021-11-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08
BALI,2021-12-01,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2195121802498514e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08,1.2345678859929893e-08
BALI,2022-01-01,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08,1.1627906841535966e-08
BALI,2022-02-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08
BALI,2022-03-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08
BALI,2022-04-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
BALI,2022-05-01,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08,1.2987012818350482e-08
BALI,2022-06-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
BALI,2022-07-01,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08
BALI,2022-08-01,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08
BALI,2022-09-01,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08,1.4492753413148501e-08
